year,electricity_demand_per_capita,temperature_change_c,co2_per_capita,gdp,renewables_share_elec,fossil_share_elec,population
2001,3408.8950325125143,0.8917763157894738,4.993777942848684,382257929542.9276,33.29787981755247,61.364145152270794,39553116.065789476
2002,3458.0038121562256,0.9647302631578948,4.936553389802632,395494071590.9013,33.63301582095262,60.89287156709715,40075956.96052632
2003,3519.139181344133,0.834796052631579,5.126594460736842,411991935501.7961,33.503021736041106,61.15075973190955,40597444.921052635
2004,3588.6237648600027,0.8128881578947368,5.182398108763158,435537357748.5132,33.63708025981721,60.96254793681989,41120065.743421055
2005,3675.209758877754,0.8720000000000001,5.207730510230263,458470622027.7105,33.39323816026904,61.23904479853809,41645328.21052632
2006,3761.3581957817078,0.917125,5.290346023131579,485277845771.3026,32.710713335729544,61.917303512902244,42175635.75
2007,3839.1239815009267,1.0393947368421053,5.223736812394737,512512051036.5329,32.65359883029994,62.1550816196066,42713584.3881579
2008,3920.455198909107,0.8457105263157895,5.208780908309211,528934283109.2039,33.193772186525166,61.575874763050756,43258518.131578945
2009,3822.4576131607355,0.9356513157894737,4.956892000513157,530294969264.2105,33.63008642091269,61.08491751404577,43810417.39473684
2010,3971.219544498544,1.169467105263158,5.139683558243421,561953278442.4868,34.354322247501266,60.99927011916512,44367302.440789476
2011,3960.4074290175186,0.8130953947368421,5.116628694203947,586082048595.0328,33.61816455488626,61.746754955794465,44928171.973684214
2012,4013.118854623092,0.9064506578947368,5.160468531171053,606704885173.4672,34.136004664506274,61.43201567154182,45496154.98026316
2013,4014.4655378178545,0.9428947368421052,5.0327022268223685,627287747662.9606,35.35239654560696,60.16404188233182,46064118.46710526
2014,3994.8377892092653,1.1359144736842104,4.890144213980263,649541971601.1974,35.52582418194384,59.87955030247471,46627421.10526316
2015,4037.0926431354724,1.336611842105263,4.819176172013158,671731152431.3092,35.22605035944205,60.298670467185346,47185169.17763158
2016,4045.33113876142,1.4648947368421052,4.762061159348684,694287013103.3816,35.4635846266572,60.03342482746628,47737939.28947368
2017,4079.9886343730122,1.2709342105263157,4.800137774723684,720651877741.8356,36.09061488119493,59.3713762337636,48284330.815789476
2018,4119.87643152789,1.381388157894737,4.795750465,747970606405.3356,37.27539364355126,58.29899418363838,48808997.71052632
2019,4113.706128584711,1.4947763157894736,4.759810978236842,769640448374.7236,37.45263010238934,57.99080667277112,49312415.546052635
2020,4017.0064797652394,1.5710131578947368,4.387113880059211,748299451509.0724,39.109282235271834,56.4027538979426,49780961.3881579
2021,4162.332376078555,1.3809802631578947,4.541414598980263,795010566931.3816,39.972713085982065,55.48001701816132,50196176.8618421
2022,4127.52926865377,1.3934342105263158,4.5662934688881585,820912876631.2368,40.70607781567072,54.66094532687413,50604609.671052635
