,missing_count,missing_percent
country,0,0.0
year,0,0.0
population,0,0.0
gdp,1131,22.65
electricity_demand_per_capita,0,0.0
electricity_demand,0,0.0
electricity_generation,0,0.0
energy_per_capita,107,2.14
energy_per_gdp,1131,22.65
fossil_share_elec,26,0.52
renewables_share_elec,26,0.52
net_elec_imports_share_demand,24,0.48
co2,0,0.0
co2_per_capita,0,0.0
co2_per_gdp,1131,22.65
co2_per_unit_energy,107,2.14
consumption_co2,1993,39.91
consumption_co2_per_capita,1993,39.91
temperature_change_from_co2,0,0.0
temperature_change_from_ghg,0,0.0
temperature_change_c,184,3.68
iso_code,0,0.0
